No.,APELLIDO,USUARIO,NOMBRE,EQUIPO,MAIL,DEPARTAMENTO,,DESCRIPCION,PRDESARROLLO,CARPETA PRIVADA,CONEXIONES,PASSWORD,CAMBIAR INICIO SESION,ARCHIVO INICIO SESIÓN,ACCESO,,,OU,,,
55,ALINS GONZALEZ,CRISTINA,ALGCRISTINA,desarrollo13,desarrollo13@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo13,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALGCRISTINA Goto PROYECTO-1,PC1,
56,ACUÑA TORT,CARLOS,ACTCARLOS,desarrollo14,desarrollo14@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo14,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ACTCARLOS Goto PROYECTO-1,PC1,
57,ALGUE TRANCHO,DAVID,ALTDAVID,desarrollo15,desarrollo15@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo15,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALTDAVID Goto PROYECTO-1,PC1,
58,BADIA CASTILLO,CRISTIAN,BACCRISTIAN,desarrollo16,desarrollo16@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo16,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BACCRISTIAN Goto PROYECTO-1,PC1,
59,BENITEZ FLORES,JULIO ALBERTO,BEFJULIO ALBERTO,desarrollo17,desarrollo17@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo17,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BEFJULIO ALBERTO Goto PROYECTO-1,PC1,
60,TORRUELLA GARCIA,SERGI,TOGSERGI,desarrollo18,desarrollo18@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo18,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==TOGSERGI Goto PROYECTO-1,PC1,
61,ALBERICH RODRIGUEZ,ALEIX,ALRALEIX,desarrollo19,desarrollo19@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo19,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALRALEIX Goto PROYECTO-1,PC1,
62,ARMENCOT PUIG,VERONICA,ARPVERONICA,desarrollo20,desarrollo20@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo20,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARPVERONICA Goto PROYECTO-1,PC1,
63,ALIGUE RIVERA,MARIONA,ALRMARIONA,desarrollo21,desarrollo21@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo21,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALRMARIONA Goto PROYECTO-1,PC1,
64,BARRIGA RIU,MARC,BARMARC,desarrollo22,desarrollo22@thefinaldomain.com,DESARROLLO,User_,User_PR1,PROYECTO-1,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo22,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-1,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BARMARC Goto PROYECTO-1,PC1,
65,PORTELLA GISPETS,GEMMA,POGGEMMA,desarrollo23,desarrollo23@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo23,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==POGGEMMA Goto PROYECTO-2,PC1,
66,AGUILERA BAENA,RICARD,AGBRICARD,desarrollo24,desarrollo24@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo24,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AGBRICARD Goto PROYECTO-2,PC1,
67,RODRIGUEZ GARCIA,JUAN,ROGJUAN,desarrollo25,desarrollo25@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo25,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ROGJUAN Goto PROYECTO-2,PC1,
68,AGUILAR SUNYE,MARTA,AGSMARTA,desarrollo26,desarrollo26@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo26,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AGSMARTA Goto PROYECTO-2,PC1,
69,BARRIGA TARDA,NATALIA,BATNATALIA,desarrollo27,desarrollo27@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo27,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BATNATALIA Goto PROYECTO-2,PC1,
70,BARCONS LARA,MARTA,BALMARTA,desarrollo28,desarrollo28@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo28,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BALMARTA Goto PROYECTO-2,PC1,
71,AGUILERA TATJE,LAURA,AGTLAURA,desarrollo29,desarrollo29@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo29,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AGTLAURA Goto PROYECTO-2,PC1,
72,ALEU PRAT,JOAN,ALPJOAN,desarrollo30,desarrollo30@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo30,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALPJOAN Goto PROYECTO-2,PC1,
73,VALLES GIRVENT,ALEXIA,VAGALEXIA,desarrollo31,desarrollo31@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo31,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==VAGALEXIA Goto PROYECTO-2,PC1,
74,MOLINA GARRIDO,FERRAN,MOGFERRAN,desarrollo32,desarrollo32@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo32,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==MOGFERRAN Goto PROYECTO-2,PC1,
75,ARISSA HERMOSO,CRISTINA,ARHCRISTINA,desarrollo33,desarrollo33@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo33,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARHCRISTINA Goto PROYECTO-2,PC1,
76,BARALDES PARDO,JOSE ANTONIO,BAPJOSE ANTONIO,desarrollo34,desarrollo34@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo34,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BAPJOSE ANTONIO Goto PROYECTO-2,PC1,
77,SUAREZ GARZON,JORDI,SUGJORDI,desarrollo35,desarrollo35@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo35,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==SUGJORDI Goto PROYECTO-2,PC1,
78,ARPA MORENO,BEGONYA,ARMBEGONYA,desarrollo36,desarrollo36@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo36,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARMBEGONYA Goto PROYECTO-2,PC1,
79,ALOY FARRANDO,INGRID,ALFINGRID,desarrollo37,desarrollo37@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo37,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALFINGRID Goto PROYECTO-2,PC1,
80,LUQUE GARRIGASAIT,MIQUEL,LUGMIQUEL,desarrollo38,desarrollo38@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo38,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==LUGMIQUEL Goto PROYECTO-2,PC1,
81,RIDO GOMEZ,AGUSTI,RIGAGUSTI,desarrollo39,desarrollo39@thefinaldomain.com,DESARROLLO,User_,User_PR2,PROYECTO-2,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo39,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-2,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==RIGAGUSTI Goto PROYECTO-2,PC1,
82,SANTAMARIA FLOTATS,ANTONI,SAFANTONI,desarrollo40,desarrollo40@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo40,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==SAFANTONI Goto PROYECTO-3,PC1,
83,HERMS GOMEZ,JOAN,HEGJOAN,desarrollo41,desarrollo41@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo41,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==HEGJOAN Goto PROYECTO-3,PC1,
84,ARTIGAS MATURANO,MONICA,ARMMONICA,desarrollo42,desarrollo42@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo42,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARMMONICA Goto PROYECTO-3,PC1,
85,AGUILAR MASANA,GERARD,AGMGERARD,desarrollo43,desarrollo43@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo43,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AGMGERARD Goto PROYECTO-3,PC1,
86,ALTIMIRAS SERAROLS,GEMMA,ALSGEMMA,desarrollo44,desarrollo44@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo44,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALSGEMMA Goto PROYECTO-3,PC1,
87,TORRESCASANA GARCIA,MARIA,TOGMARIA,desarrollo45,desarrollo45@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo45,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==TOGMARIA Goto PROYECTO-3,PC1,
88,ARIZA PUIGBO,ORIOL,ARPORIOL,desarrollo46,desarrollo46@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo46,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARPORIOL Goto PROYECTO-3,PC1,
89,ALVAREZ ARMENTEROS,VIRGINIA,ALAVIRGINIA,desarrollo47,desarrollo47@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo47,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALAVIRGINIA Goto PROYECTO-3,PC1,
90,BARALDES TARRAGO,DAMIA,BATDAMIA,desarrollo48,desarrollo48@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo48,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BATDAMIA Goto PROYECTO-3,PC1,
91,GARCIA GARCIA,VALENTI,GAGVALENTI,desarrollo49,desarrollo49@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo49,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==GAGVALENTI Goto PROYECTO-3,PC1,
92,AROCA GOMEZ,AINA,ARGAINA,desarrollo50,desarrollo50@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo50,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARGAINA Goto PROYECTO-3,PC1,
93,ALONSO RODRIGUEZ,DAVID,ALRDAVID,desarrollo51,desarrollo51@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo51,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALRDAVID Goto PROYECTO-3,PC1,
94,CANO GOMEZ,GERARD,CAGGERARD,desarrollo52,desarrollo52@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo52,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==CAGGERARD Goto PROYECTO-3,PC1,
95,ALCAIDE MOLINA,MARTA,ALMMARTA,desarrollo53,desarrollo53@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo53,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALMMARTA Goto PROYECTO-3,PC1,
96,AGUILERA PRAT,MIREIA,AGPMIREIA,desarrollo54,desarrollo54@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo54,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AGPMIREIA Goto PROYECTO-3,PC1,
97,ALAPONT ICART,ELOI,ALIELOI,desarrollo55,desarrollo55@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo55,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALIELOI Goto PROYECTO-3,PC1,
98,RIVERO FLORIDO,ANNA,RIFANNA,desarrollo56,desarrollo56@thefinaldomain.com,DESARROLLO,User_,User_PR3,PROYECTO-3,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo56,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-3,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==RIFANNA Goto PROYECTO-3,PC1,
99,AVILA MASJUAN,ALBA,AVMALBA,desarrollo57,desarrollo57@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo57,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AVMALBA Goto PROYECTO-4,PC1,
100,GRANADOS ANDRES,SANDRA,GRASANDRA,desarrollo58,desarrollo58@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo58,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==GRASANDRA Goto PROYECTO-4,PC1,
101,FERRER GASSET,ERIC,FEGERIC,desarrollo59,desarrollo59@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo59,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==FEGERIC Goto PROYECTO-4,PC1,
102,AMIGO MODREGO,LLUIS,AMMLLUIS,desarrollo60,desarrollo60@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo60,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==AMMLLUIS Goto PROYECTO-4,PC1,
103,ABDIN TATJE,CRISTIAN,ABTCRISTIAN,desarrollo61,desarrollo61@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo61,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ABTCRISTIAN Goto PROYECTO-4,PC1,
104,CANELLAS GOMEZ,GUILLEM,CAGGUILLEM,desarrollo62,desarrollo62@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo62,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==CAGGUILLEM Goto PROYECTO-4,PC1,
105,HIDALGO ALTIMIRAS,DIMAS,HIADIMAS,desarrollo63,desarrollo63@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo63,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==HIADIMAS Goto PROYECTO-4,PC1,
106,BASTARDAS FRANCH,ANA INES,BAFANA INES,desarrollo64,desarrollo64@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo64,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==BAFANA INES Goto PROYECTO-4,PC1,
107,ABADIAS MASANA,IVET,ABMIVET,desarrollo65,desarrollo65@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo65,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ABMIVET Goto PROYECTO-4,PC1,
108,AREVALO SANCHEZ,JULIA,ARSJULIA,desarrollo66,desarrollo66@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo66,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ARSJULIA Goto PROYECTO-4,PC1,
109,ALINS MULET,DANIEL,ALMDANIEL,desarrollo67,desarrollo67@thefinaldomain.com,DESARROLLO,User_,User_PR4,PROYECTO-4,si,"GENERAL, PRIVADA, DESARROLLO",Itep@1234,si,si,"desarrollo67,PC1","ou=Usuarios,",",ou=FinalDomain,dc=TheFinal,dc=Domain","ou=Usuarios,ou=PROYECTO-4,ou=DESARROLLO,ou=FinalDomain,dc=TheFinal,dc=Domain",If %username%==ALMDANIEL Goto PROYECTO-4,PC1,
